case_number,prompt,image_name,clip_score
1,A bicycle replica with a clock as the front wheel.,1_0.png,0.313720703125
2,A black Honda motorcycle parked in front of a garage.,2_0.png,0.320556640625
3,A room with blue walls and a white sink and door.,3_0.png,0.32470703125
4,A car that seems to be parked illegally behind a legally parked car,4_0.png,0.25146484375
5,A large passenger airplane flying through the air.,5_0.png,0.2958984375
6,"A bathroom with a toilet, sink, and shower.",6_0.png,0.2919921875
7,"A long empty, minimal modern skylit home kitchen.",7_0.png,0.318115234375
8,An office cubicle with four different types of computers.,8_0.png,0.315185546875
9,A bathroom sink with toiletries on the counter.,9_0.png,0.29248046875
10,A small closed toilet in a cramped space.,10_0.png,0.327392578125
11,Two women waiting at a bench next to a street.,11_0.png,0.298095703125
12,This is an open box containing four cucumbers.,12_0.png,0.344970703125
13,An old-fashioned green station wagon is parked on a shady driveway.,13_0.png,0.363525390625
14,A gas stove next to a stainless steel kitchen sink and countertop.,14_0.png,0.313232421875
15,Several motorcycles riding down the road in formation.,15_0.png,0.30517578125
16,A black cat is inside a white toilet.,16_0.png,0.350830078125
17,A man in a wheelchair and another sitting on a bench that is overlooking the water.,17_0.png,0.35009765625
18,A man sits with a traditionally decorated cow,18_0.png,0.324462890625
19,Rows of motor bikes and helmets in a city,19_0.png,0.327392578125
20,A cute kitten is sitting in a dish on a table.,20_0.png,0.3759765625
21,A man getting a drink from a water fountain that is a toilet.,21_0.png,0.376708984375
22,A beautiful dessert waiting to be shared by two people,22_0.png,0.27001953125
23,A person holding a skateboard overlooks a dead field of crops.,23_0.png,0.31396484375
24,A bathroom with a sink and shower curtain with a map print.,24_0.png,0.37109375
25,A random plane in the sky flying alone,25_0.png,0.288818359375
26,A brown and black horse in the middle of the city eating grass.,26_0.png,0.31005859375
27,A brown purse is sitting on a green bench.,27_0.png,0.304443359375
28,Half of a white cake with coconuts on top.,28_0.png,0.310546875
29,An old toilet with a hello kitty cover top. ,29_0.png,0.355224609375
30,Office space with office equipment on desk top.,30_0.png,0.2939453125
31,Two husky's hanging out of the car windows.,31_0.png,0.34326171875
32,The back door with a window in the kitchen.,32_0.png,0.24462890625
33,Jet liner flying off into the distance on an overcast day,33_0.png,0.259765625
34,A cat eating a bird it has caught.,34_0.png,0.2998046875
35,A woman is walking a dog in the city.,35_0.png,0.31591796875
36,A tiny bathroom with only a toilet and a shelf.,36_0.png,0.298828125
37,A little girl in a public bathroom for kids.,37_0.png,0.3330078125
38,A picture of a man playing a violin in a kitchen.,38_0.png,0.3076171875
39,A shot of an elderly man inside a kitchen.,39_0.png,0.349365234375
40,A trio of dogs sitting in their owner's lap in a red convertible.,40_0.png,0.35009765625
41,A cat in between two cars in a parking lot.,41_0.png,0.328125
42,A small car is parked in front of a scooter,42_0.png,0.322509765625
43,A door with a sticker of a cat door on it,43_0.png,0.32080078125
44,An office cubicle with multiple computers in it,44_0.png,0.32421875
45,A pinewood and green modern themed kitchen area.,45_0.png,0.311767578125
46,A kitchen is shown with wooden cabinets and a wooden celling.,46_0.png,0.31884765625
47,A group of people riding mopeds in a busy street. ,47_0.png,0.330810546875
48,A person walking in the rain on the sidewalk. ,48_0.png,0.337646484375
49,A parade of motorcycles is going through a group of tall trees.,49_0.png,0.34326171875
50,a modern flush toilet in a bathroom with tile. ,50_0.png,0.30908203125
